Nama Kab/Kota, KK, Jumlah Penduduk, ,
 , , Lk, Pr, Total
Lampung Selatan, 320.799, 535.723, 509.939, 1.045.662
Lampung Tengah, 467.358, 760.129, 719.275, 1.479.404
Lampung Utara, 197.820, 317.647, 304.165, 621.812
Lampung Barat, 88.999, 159.061, 146.911, 305.972
Tulang Bawang, 136.116, 220.381, 205.350, 425.731
Tanggamus, 176.992, 336.402, 312.554, 648.956
Lampung Timur, 364.979, 575.614, 550.060, 1.125.674
Way Kanan, 143.231, 245.450, 232.318, 477.768
Pesawaran, 150.110, 244.377, 228.384, 472.761
Pringsewu, 126.091, 208.957, 195.451, 404.408
Mesuji, 77.170, 119.080, 111.293, 230.373
Tulang Bawang Barat, 101.153, 141.939, 134.472, 276.411
Pesisir Barat, 46.619, 84.048, 76.820, 160.868
Bandar Lampung, 346.719, 605.710, 580.033, 1.185.743
Metro, 51.331, 86.189, 84.663, 170.852
